key,code,motivation,goals,draftMode,key:student,key:course
enrolment-01,A001,Acudir a clase,a,false,student-01,course-02
enrolment-02,A012,E,aprender conocimientos nuevos,false,student-02,course-02
enrolment-03,A021,Vamosaforzarhasta74caractereshjkashduahdjkahdejansdandjandansioraslkuneju,aprobar,false,student-03,course-02
enrolment-04,A042,Estudiar,こんにちは、私のすべての人々に私たちはお元気ですか,false,student-04,course-02
enrolment-05,A420,Ahorasolamentehasta75hjkashduahdjkahdejansdandjandansioraslknejuiouuuuuuio,مرحبا لكل شعبي كيف حالالفيزياء الكيميائية,false,student-02,course-02
enrolment-06,ABC923,Ahorahasta76hjkashduahdjkahdejansdandjandansioraslknejuifskfklmñldmfemlmdiw,aprender mucho,false,student-02,course-02
enrolment-07,A440,مرحبا لكل شعبي كيف حالالفيزياء الكيميائية,Esto es un goal,false,student-02,course-02
enrolment-08,A410,こんにちは、私のすべての人々に私たちはお元気ですか,Goals,true,student-05,course-02
enrolment-09,A411,"<script> alert(""hi!"")</script>",#%&*@¡¿$/`´'€~|ª¨,false,student-03,course-02
enrolment-10,ABC023,<h1>hello</h1>,Goals,false,student-01,course-02
enrolment-11,ABC053,Motivacion,<h1>hello</h1>,false,student-01,course-02
enrolment-12,ABC111,Acudir a clase cada dia,"<script>alert(""""hi"""")</script>",false,student-01,course-02
enrolment-13,ABC121,Estudiar,vamosarellenarhasta101caracteresparaprobarestoscasosdepruebadeenrolmentyprobarquefuncionatodobiennnM,false,student-01,course-02
enrolment-14,ABC131,Estudiar cada dia,vamosarellenarhasta99caracteresparaprobarestoscasosdepruebadeenrolmentyprobarquefuncionatodobiennn,false,student-01,course-02
enrolment-15,ABC141,Aprender mucho,vamosarellenarhasta100caracteresparaprobarestoscasosdepruebadeenrolmentyprobarquefuncionatodobiennn,false,student-01,course-02
enrolment-16,ABC151,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-17,ABC161,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-18,ABC171,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-19,ABC181,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-20,ABC191,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-21,ABC201,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-22,ABC211,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-23,ABC221,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-24,ABC231,#%&*@¡¿$/`´'€~|ª¨,esto es un goal,false,student-01,course-02
enrolment-25,ABC241,#%&*@¡¿$/`´'€~|ª¨,es,false,student-01,course-02
enrolment-26,ABC251,ae,esto es un goal,false,student-01,course-02
