key,code,conclusion,strongPoints,weakPoints,draftMode,key:auditor,key:course
audit-01,ABC123,a,こんにちは、私のすべての人々に私たちはお元気ですか,simplesa,true,auditor-01,course-02
audit-01.1,ABC224,こんにちは、私のすべての人々に私たちはお元気ですか,complejidad,simplesa,true,auditor-01,course-02
audit-01.2,ABC225,a,complejidad,こんにちは、私のすべての人々に私たちはお元気ですか,true,auditor-01,course-02
audit-02,ABC125,Audit2,s,complejidad,true,auditor-02,course-02
audit-03,ABC126,Audit3,ok,o,true,auditor-03,course-02
audit-04,ABC127,HHWjSTaz48zyp9xvrwVv4pbfGeyiAcjdppfQnCDTZVJtVGH6TDTyiEye25HJDUManEkKScu8cNrAGSb9R7jpJ89ccqagyGRp8A5d,ok,ok,true,auditor-04,course-06
audit-05,ABC128,Audit5,miMpnpmREAxDGebDeLAqpPUw3N4iNxHwNXcdB5aa42qhkPJTYeAdiVvQ9VGLVujLvW66hfgkGxTwbyuUtHJhPzppv8mxdYY6JFKL,ok,true,auditor-05,course-06
audit-06,ABC129,Audit6,ok,tDxGbBrCMk5g8XDfL9uUSqdKAdQTNxVmxHyL5xnJvRdPXR4cXd5GUW86JY5Z2XR9ky9i2mJKafkL3489Y4hcEejXUteRBbbn2vCL,true,auditor-06,course-06
audit-07,ABC130,ab,complejidad,simplesa,true,auditor-07,course-16
audit-08,ABC131,Audit8,ss,complejidad,true,auditor-08,course-16
audit-09,ABC132,Audit9,ok,oe,true,auditor-09,course-16
audit-10,ABC133,HWjSTaz48zyp9xvrwVv4pbfGeyiAcjdppfQnCDTZVJtVGH6TDTyiEye25HJDUManEkKScu8cNrAGSb9R7jpJ89ccqagyGRp8A5d,ok,ok,true,auditor-10,course-16
audit-11,ABC134,Audit11,iMpnpmREAxDGebDeLAqpPUw3N4iNxHwNXcdB5aa42qhkPJTYeAdiVvQ9VGLVujLvW66hfgkGxTwbyuUtHJhPzppv8mxdYY6JFKL,ok,true,auditor-11,course-16
audit-12,ABC135,Audit12,ok,DxGbBrCMk5g8XDfL9uUSqdKAdQTNxVmxHyL5xnJvRdPXR4cXd5GUW86JY5Z2XR9ky9i2mJKafkL3489Y4hcEejXUteRBbbn2vCL,true,auditor-12,course-08
audit-14,ABC136,مرحبا لكل شعبي كيف حالالفيزياء الكيميائية,complejidad,simplesa,false,auditor-14,course-02
audit-15,ABC137,a,مرحبا لكل شعبي كيف حالالفيزياء الكيميائية,simplesa,true,auditor-15,course-16
audit-16,ABC138,a,complejidad,مرحبا لكل شعبي كيف حالالفيزياء الكيميائية,true,auditor-15,course-16
audit-17,ABC139,<h1> hello and welcome to the class!<h1>,complejidad,simplesa,true,auditor-15,course-16
audit-18,ABC140,a,<h1> hello and welcome to the class!<h1>,simplesa,true,auditor-15,course-16
audit-19,ABC141,a,complejidad,<h1> hello and welcome to the class!<h1>,false,auditor-16,course-16
audit-20,ABC142,#%&*@¡¿$/`´'€~|ª¨,complejidad,simplesa,true,auditor-17,course-16
audit-21,ABC143,conclusion21,#%&*@¡¿$/`´'€~|ª¨,simplesa,false,auditor-17,course-16
audit-22,ABC144,Audit22,complejidad,#%&*@¡¿$/`´'€~|ª¨,true,auditor-17,course-16
