lectureIndex,title,abstracts,estimatedTime,body,nature,link
0,L,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
0,Lo,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
0,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
0,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
0,Lorem ipsum,L,10.00,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lo,10.00,Lorem ipsum,BALANCE,
0,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socied,10.00,Lorem ipsum,BALANCE,
0,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socieda,10.00,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lorem ipsum,0.01,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lorem ipsum,0.02,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lorem ipsum,999.98,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lorem ipsum,999.99,Lorem ipsum,BALANCE,
0,Lorem ipsum,Lorem ipsum,10.00,L,BALANCE,
0,Lorem ipsum,Lorem ipsum,10.00,Lo,BALANCE,
0,Lorem ipsum,Lorem ipsum,10.00,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socied,BALANCE,
0,Lorem ipsum,Lorem ipsum,10.00,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socieda,BALANCE,
0,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,THEORETICAL,
0,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,HANDS_ON,
0,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,BALANCE,http://www.example.com
