auditIndex,code,conclusion,strongPoints,weakPoints,course,modeMark
0,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
1,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
2,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
3,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
4,ABC901,,Lorem ipsum,Lorem ipsum,ABC136,
5,ABC902,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,Lorem ipsum,Lorem ipsum,ABC136,
6,ABC903,HOLAMUYBUENAS,,Lorem ipsum,ABC136,
7,ABC904,Lorem ipsum,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,Lorem ipsum,ABC136,
8,ABC905,Lorem ipsum,Lo,,ABC136,
9,ABC906,Lorem ipsum,En el mundo tecnológico,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,ABC136,
10,ABC907,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC136,
11,ABC908,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,
12,ABC909,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,
13,ABC910,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,
14,ABC911,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,
