enrolmentIndex,code,motivation,goals,course,expiryDate,cvc,creditCard,holderName
0,AB801,Acudir a clase,,Z123,,,,
1,AB801,GoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoa,Z123,,
2,ABC800,,Z123,,
3,ABC802,Lo,GoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoals,Z123,,,,,
4,ABC804,,GoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoalsGoa,Z123,,,,,
5,ABC805,Motivation,Lorem ipsum,Z1,,,,
6,,Motivation,L,Z123,,,,
7,ABC807,,La vida es un viaje constante de descubrimiento y aprendizaje una oportunidad para crecer y ser tu.,,,,,
8,ABC808,Motivacion10,La vida es un viaje constante de descubrimiento y aprendizaje una oportunidad para crecer y ser tu.,Z123,,,,
9,ABC809,,La vida,Z123,,,,
10,ABC810,Motivation,,Z123,,,,
