enrolmentRecordIndex,activityIndex,title,abstracts,startDate,endDate,nature,link
0,1,,Lorem ipsum,2025/12/01 20:00,2025/12/02 23:00,THEORETICAL,http://activity1-example.com
1,2,Lorem ipsum,Lorem ipsum,2025/12/05 ,2025/12/06,THEORETICAL,http://activity22-example.com
2,3,Lorem ipsum,,2025/12/11 00:00,2025/12/12 23:00,,http://activity22-example.com
3,1,Lorem ipsum,Lorem ipsum,aaaaaa,2025/02/10 23:00,BALANCE,http://activity12-example.com
4,2,Lorem ipsum,Lorem ipsum,2025/12/05 00:00,bbb9999,THEORETICAL,www.example.com
5,1,LLLL,Lorem ipsum,2025/12/05 22:22,2025/12/06 23:00,BALANCE,http://activity22-example.com
6,1,Lorem ipsum,Lorem ipsum,,2025/12/06 23:00,THEORETICAL,www.example.com
7,3,Lorem ipsum,Lorem ipsum,2025/12/05 00:00,THEORETICAL,www.example.com
8,2,Lorem ipsum,Lorem ipsum,2025/12/05 22:22,2025/12/06 23:00,,www.example.com
9,1,LLLLL,Lorem ipsum,2025/12/01 20:00,2025/12/02 23:00,THEORETICAL,123
