key,instantiation,title,message,critical,link
bulletin-01,2021/12/11 23:00,tvAS5xHmNyNKxTxanv2gj98GeShhXkTQb,se feliz,true,null
bulletin-02,2021/12/10 23:00,r,<h1> hello and welcome to the class!<h1>,false,http://example.com
bulletin-03,2021/12/10 23:00,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,<h1> hello and welcome to the class!<h1>,false,http://example.com
bulletin-04,2021/12/10 23:00,Lorem Ipsum,Para comenzar simplemente escribe o pega el texto en el área de texto indicada cuando hayas terminad,false,http://example.com
bulletin-05,2021/12/10 23:00,Lorem Ipsum,Para comenzar simplemente escribe o pega el texto en el área de texto indicada cuando hayas terminad,false,http://example.com
bulletin-06,2021/12/10 23:00,段階,Para comenzar simplemente escribe o pega el texto en el área de texto indicada cuando hayas terminad,false,http://example.com
bulletin-07,2021/12/10 23:00,段階,段階,false,http://example.com
bulletin-08,2021/12/10 23:00,ra,段階,false,http://bulletin08.com
bulletin-09,2021/12/10 23:00,ra,a,false,http://bulletin09.com
bulletin-10,2021/12/10 23:00,ra,ab,false,http://bulletin10.com
bulletin-11,2021/12/10 23:00,<h1> hello and welcome to the class!<h1>,Hola muy buenas,false,http://example.com
