tutorialIndex,code,title,abstracts,goals,course,estimatedTime
0,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
1,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
2,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
3,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
4,ABC901,,Lorem ipsum,Lorem ipsum,ABC136,0.00
5,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,Lorem ipsum,ABC136,0.00
6,ABC903,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,,Lorem ipsum,ABC136,0.00
7,ABC904,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,ABC136,0.00
8,ABC905,Lorem ipsum,Lo,,ABC136,0.00
9,ABC906,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,ABC136,0.00
10,ABC907,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC136,0.00
11,ABC908,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
12,ABC909,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,0.00
13,ABC910,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,0.00
14,ABC911,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,0.00
