key,instantiation,heading,summary,inicialPeriod,finalPeriod,price,link
offer-01,2021/12/11 23:00,Offer1,こんにちは、私のすべての人々に私たちはお元気ですか,2030/12/11 20:00,2030/12/11 23:00,"EUR 15,000.98",http://example.com
offer-02,2021/12/10 23:00,こんにちは、私のすべての人々に私たちはお元気ですか,offer2,2030/12/11 21:00,2030/12/11 22:00,"USD 20,000.00",http://example.com
offer-03,2021/12/10 23:00,Offer3,"<script> alert(""hi!"")</script>",2030/12/11 21:00,2030/12/11 22:00,"GBP 30,000.00",http://example.com
offer-04,2021/12/10 23:00,"<script> alert(""hi!"")</script>",offer4,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-05,2021/12/10 23:00,probamoscon74caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03l,Resumen de la offer5,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-06,2021/12/10 23:00,probamoscon75caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03lm,Resumen de la offer6,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-07,2021/12/10 23:00,probamoscon76caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03lMM,Resumen de la offer7,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-08,2021/12/10 23:00,Offer8,probamoscon99caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdh,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-09,2021/12/10 23:00,Offer9,probamoscon100caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdh,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
offer-10,2021/12/10 23:00,Offer10,probamoscon101caracteresaquiasdasdkmvklasmkfamñlsdmqoprjopasmcñalsmnraif03ldfsdfsdfsgysdgsdgrrrbsdhX,2030/12/11 21:00,2030/12/11 22:00,"GBP 10,000.00",http://example.com
