tutorialIndex,title,abstracts,goals,course,estimatedTime
0,,,,ABC137,0.00
1,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
3,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
4,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
5,,Lorem ipsum,Lorem ipsum,ABC137,0.00
6,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,Lorem ipsum,ABC137,0.00
7,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,,Lorem ipsum,ABC137,0.00
8,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,ABC137,0.00
9,Lorem ipsum,Lo,,ABC137,0.00
10,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,ABC137,0.00
11,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC137,0.00
12,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
13,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC131,0.00
