tutorialIndex,code,title,abstracts,goals,course,estimatedTime
0,A800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
1,AB800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
2,ABC800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
3,ABC900,L,Lorem ipsum,Lorem ipsum,ABC137,0.00
4,ABC901,Lo,Lorem ipsum,Lorem ipsum,ABC137,0.00
5,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,Lorem ipsum,ABC137,0.00
6,ABC903,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,Lorem ipsum,ABC137,0.00
7,ABC904,Lorem ipsum,L,Lorem ipsum,ABC137,0.00
8,ABC905,Lorem ipsum,Lo,Lorem ipsum,ABC137,0.00
9,ABC906,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,ABC137,0.00
10,ABC907,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,ABC137,0.00
11,ABC908,Lorem ipsum,Lorem ipsum,L,ABC137,0.00
12,ABC909,Lorem ipsum,Lorem ipsum,Lo,ABC137,0.00
13,ABC910,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,ABC137,0.00
14,ABC911,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,ABC137,0.00
