practicumIndex,code,title,abstracts,goals,course,estimatedTime
0,ABC501,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,ABC503,L,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,ABC504,Lo,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,ABC505,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,ABC506,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,ABC506,Lorem ipsum,L,Lorem ipsum,ABC136,0.00
0,ABC507,Lorem ipsum,Lo,Lorem ipsum,ABC136,0.00
0,ABC508,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,ABC136,0.00
0,ABC509,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddww,Lorem ipsum,ABC136,0.00
0,ABC510,Lorem ipsum,Lorem ipsum,L,ABC136,0.00
0,ABC511,Lorem ipsum,Lorem ipsum,Lo,ABC136,0.00
0,ABC512,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,ABC136,0.00
0,ABC513,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddww,ABC136,0.00
0,A800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
0,AB800,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC136,0.00
