tutorialIndex,code,title,abstracts,goals,course,estimatedTime
0,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,ABC901,,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pret,Lorem ipsum,Lorem ipsum,ABC137,0.00
0,ABC903,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,,Lorem ipsum,ABC137,0.00
0,ABC904,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddwww,Lorem ipsum,ABC137,0.00
0,ABC905,Lorem ipsum,Lo,,ABC137,0.00
0,ABC906,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddwww,ABC137,0.00
0,ABC906,Lorem ipsum,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prettretwtwxfwfdgdddddsqddwww,ABC131,0.00
