key,roles,key:course,key:lecture
courseLecture-01,a,course-01,lecture-02
courseLecture-02,b,course-02,lecture-01
courseLecture-03,a,course-03,lecture-06
courseLecture-04,b,course-04,lecture-05
courseLecture-05,a,course-05,lecture-04
courseLecture-06,b,course-06,lecture-03
courseLecture-07,a,course-07,lecture-07
courseLecture-08,b,course-08,lecture-08
courseLecture-09,a,course-09,lecture-09
courseLecture-10,s,course-10,lecture-10
courseLecture-11,d,course-11,lecture-11
courseLecture-12,f,course-12,lecture-12
courseLecture-13,t,course-13,lecture-13
courseLecture-14,t,course-14,lecture-14
courseLecture-15,y,course-15,lecture-15
courseLecture-16,j,course-16,lecture-16
courseLecture-17,g,course-17,lecture-17
courseLecture-18,j,course-18,lecture-18
courseLecture-19,f,course-19,lecture-19
courseLecture-20,v,course-20,lecture-20
courseLecture-21,c,course-21,lecture-21
courseLecture-22,e,course-22,lecture-22
courseLecture-23,t,course-23,lecture-23
courseLecture-24,w,course-24,lecture-24
courseLecture-25,h,course-25,lecture-01
courseLecture-26,j,course-26,lecture-02
