auditIndex,auditingRecordRecordIndex,subject,assessment,markType,initialPeriod,finalPeriod,link
0,4,,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",B,2009/12/10 13:00,2011/12/10 14:00,
0,5,tus comentarios en Twitter así como para muchas otras aplicaciones esta es una calculadora gratuita en línea,"La vida es corta, haz lo que te apasiona cada momento al máximo.",B,2009/12/10 20:00,2011/12/10 21:00,
0,2,Lorem ipsum20,,B,2009/12/10 11:00,2011/12/10 12:00,
0,3,Lorem ipsum60,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,B,2009/12/10 17:00,2011/12/10 19:00,
0,2,Lorem ipsum30,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",C,,2009/12/10 19:00,
0,3,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",B,2010/07/30 00:00,,
0,4,Lorem ipsum69,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",B,2010/07/31 00:00,2011/07/31 01:00,ssssssss
0,5,Lorem ipsum92,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",B,2033/07/30 00:00,2034/07/30 01:00,
0,2,Lorem ipsum40,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",B,2010/07/31 00:00,2009/07/30 23:00,
0,3,Lorem ipsum80,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",C,2011/07/31 00:00,2011/07/31 00:59,
0,4,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",C,2011/07/31 00:00,2011/07/31 00:00,
0,5,,,C,,,
