courseIndex,code,title,price,abstracts,link,nature
0,,,,,,BALANCE
0,ABC9,Lorem ipsum,EUR 10.00,Lorem ipsum,,BALANCE
0,ABC98,Lorem ipsum,EUR 10.00,Lorem ipsum,,BALANCE
0,ABC9876,Lorem ipsum,EUR 10.00,Lorem ipsum,,BALANCE
0,AB98,Lorem ipsum,EUR 10.00,Lorem ipsum,,BALANCE
0,ABC902,En el mundo tecnológico actual todos utilizamos o formamos parte de una pred,EUR 10.00,Lorem ipsum,,BALANCE
0,ABC903,Lorem ipsum,,Lorem ipsum,,BALANCE
0,ABC904,Lorem ipsum,EUR -10.00,Lorem ipsum,,BALANCE
0,ABC905,Lorem ipsum,"EUR 1,000,000.01",Lorem ipsum,,BALANCE
0,ABC906,Lorem ipsum,EUR 10.00,,,BALANCE
0,ABC907,Lorem ipsum,EUR 10.00,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la sociedad,,BALANCE
0,ABC908,Lorem ipsum,EUR 0.01,Lorem ipsum,Lorem ipsum,BALANCE
