lectureIndex,title,abstracts,estimatedTime,body,nature,link
0,L,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
1,Lo,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
0,En el mundo tecnológico actual todos utilizamos o formamos parte de una pr,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
1,En el mundo tecnológico actual todos utilizamos o formamos parte de una pre,Lorem ipsum,10.00,Lorem ipsum,BALANCE,
4,Lorem ipsum,L,10.00,Lorem ipsum,BALANCE,
5,Lorem ipsum,Lo,10.00,Lorem ipsum,BALANCE,
6,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socied,10.00,Lorem ipsum,BALANCE,
7,Lorem ipsum,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socieda,10.00,Lorem ipsum,BALANCE,
8,Lorem ipsum,Lorem ipsum,0.01,Lorem ipsum,BALANCE,
9,Lorem ipsum,Lorem ipsum,0.02,Lorem ipsum,BALANCE,
10,Lorem ipsum,Lorem ipsum,999.98,Lorem ipsum,BALANCE,
11,Lorem ipsum,Lorem ipsum,999.99,Lorem ipsum,BALANCE,
12,Lorem ipsum,Lorem ipsum,10.00,L,BALANCE,
13,Lorem ipsum,Lorem ipsum,10.00,Lo,BALANCE,
14,Lorem ipsum,Lorem ipsum,10.00,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socied,BALANCE,
15,Lorem ipsum,Lorem ipsum,10.00,En el mundo tecnológico actual todos utilizamos o formamos parte de una prediccion de que la socieda,BALANCE,
16,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,THEORETICAL,
17,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,HANDS_ON,
18,Lorem ipsum,Lorem ipsum,10.00,Lorem ipsum,BALANCE,http://www.example.com
