enrolmentRecordIndex,activityIndex,title,abstracts,inicialPeriod,finalPeriod,nature,link
0,0,,Lorem ipsum,2024/12/01 20:00,2024/12/02 23:00,THEORETICAL,null
1,1,La vida es un camino que debemos recorrer con valentía y pasión y mucho esssssss,Lorem ipsum,2025/12/05 00:00,2025/12/06 23:00,THEORETICAL,http://activity22-example.com
2,2,Lorem ipsum,,2027/12/01 20:00,2027/12/06 23:00,THEORETICAL,http://example_example.com
3,3,Lorem ipsum,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestrosadasd,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://prueba.com
4,4,Lorem ipsum,Al,2024/01/05 00:10,2024/01/04 23:00,BALANCE,null
5,5,L,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestross,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://activity12-example.com
6,6,Lo,El éxito es el resultado de la perseverancia la pasión y la determinación constante en buscanuestros,2022/01/05 00:10,2022/02/10 23:00,BALANCE,http://activity12-example.com
7,7,Lorem ipsum,lorem ipsum,2025/01/05 00:10,2025/02/10 23:00,BALANCE,http://1111-example.com
8,8,lorem ipsum,,2025/01/05 00:10,2025/02/10 23:00,,null
9,9,,,2026/01/05 00:10,2026/02/10 23:00,BALANCE,
