tutorialIndex,tutorialSessionRecordIndex,title,abstracts,nature,inicialPeriod,finalPeriod,link
0,0,,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",THEORETICAL,2030/12/10 13:00,2030/12/10 14:00,
0,0,tus comentarios en Twitter así como para muchas otras aplicaciones esta es una calculadora gratuita en línea,"La vida es corta, haz lo que te apasiona cada momento al máximo.",THEORETICAL,2030/12/10 20:00,2030/12/10 21:00,
0,1,Lorem ipsum20,,THEORETICAL,2030/12/10 11:00,2030/12/10 12:00,
0,1,Lorem ipsum60,tus comentarios en Twitter así como para muchas otras aplicaciones esta es una calculadora gratuita en línea,THEORETICAL,2030/12/10 17:00,2030/12/10 19:00,
0,1,Lorem ipsum30,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",BALANCE,2030/12/10 17:00,,
0,1,Lorem ipsum30,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",BALANCE,,2030/12/10 18:00,
0,1,Lorem ipsum30,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",BALANCE,2030/12/10 17:00,2030/12/10 17:00,ssss
3,0,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",THEORETICAL,2022/07/30 00:00,2022/07/30 01:00,
3,0,Lorem ipsum40,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",THEORETICAL,2022/07/31 00:00,2022/07/30 23:00,
3,0,Lorem ipsum80,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",BALANCE,2022/07/31 00:00,2022/07/31 00:59,
3,0,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",BALANCE,2022/07/31 00:00,2022/07/31 05:59,
