auditIndex,code,conclusion,strongPoints,weakPoints,course,modeMark
0,ABC2,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,B
0,ABC25,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,B
0,ABC2563,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,B
0,AB90,Lorem ipsum,Lorem ipsum,Lorem ipsum,ABC137,B
0,ABC901,,Lorem ipsum,Lorem ipsum,ABC137,B
0,ABC902,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,Lorem ipsum,Lorem ipsum,ABC137,B
0,ABC903,En el mundo,,Lorem ipsum,ABC137,B
0,ABC904,Lorem ipsum,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,Lorem ipsum,ABC137,B
0,ABC905,Lorem ipsum,Lo,,ABC137,B
0,ABC906,Lorem ipsum,Lorem ipsum,RqwzAqgYV6QNUCgP7pxwNTbm43HUfjpdPnU3f3aQtLkaeAi2mXKCUvDJzx5ZTzAcvvtWcBa9miMayq9uXmKxy3D3ffCzzqMmyczHz,ABC137,B
