key,key:course,key:lecture
courseLecture-01,course-01,lecture-02
courseLecture-02,course-02,lecture-01
courseLecture-03,course-03,lecture-06
courseLecture-05,course-05,lecture-13
courseLecture-06,course-06,lecture-03
courseLecture-07,course-07,lecture-07
courseLecture-08,course-08,lecture-08
courseLecture-09,course-09,lecture-09
courseLecture-10,course-10,lecture-10
courseLecture-11,course-11,lecture-11
courseLecture-12,course-12,lecture-12
courseLecture-13,course-13,lecture-13
courseLecture-14,course-14,lecture-14
courseLecture-15,course-15,lecture-15
courseLecture-16,course-16,lecture-16
courseLecture-17,course-18,lecture-18
courseLecture-18,course-19,lecture-19
courseLecture-19,course-20,lecture-20
courseLecture-20,course-21,lecture-21
courseLecture-21,course-22,lecture-22
courseLecture-22,course-23,lecture-23
courseLecture-23,course-24,lecture-24
courseLecture-24,course-25,lecture-01
courseLecture-25,course-26,lecture-02
