key,subject,assessment,markType,initialPeriod,finalPeriod,link,exceptional,key:audit
auditingRecord-01,A1,assesment1,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-01
auditingRecord-01.1,A2,assesment1.1,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-01.1
auditingRecord-01.2,A3,assesment1.2,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-01.2
auditingRecord-02,estoson76caractereskPQG2G9GcSwKcQvVtkqaq5vdFadRAqidyHYf6z4vCuu6AaX8y32bDDYE,assesment2,C,2011/12/10 20:00,2013/12/10 22:00,http://www.example.com,false,audit-02
auditingRecord-03,estoson75caractereskPQG2G9GcSwKcQvVtkqaq5vdFadRAqidyHYf6z4vCuu6AaX8y32bDDY,a,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-03
auditingRecord-04,estoson74caractereskPQG2G9GcSwKcQvVtkqaq5vdFadRAqidyHYf6z4vCuu6AaX8y32bDD,asses,C,2011/12/10 20:00,2013/12/10 22:00,http://www.example.com,false,audit-04
auditingRecord-05,AuditingRecord5,estoson100caracteresqj5DDyixpWEKVDjziFmAnwEDHbyyPaVgShqVt2NCLa75bPJTyi7Tkmhz3jyZiPkpbMb6dHUkANCWTjD,B,2012/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-06
auditingRecord-06,AuditingRecord6,estoson101caracteresqj5DDyixpWEKVDjziFmAnwEDHbyyPaVgShqVt2NCLa75bPJTyi7Tkmhz3jyZiPkpbMb6dHUkANCWTjDA,C,2011/12/10 20:00,2013/12/10 22:00,http://www.example.com,false,audit-06
auditingRecord-07,Ae,estoson99caracteresqj5DDyixpWEKVDjziFmAnwEDHbyyPaVgShqVt2NCLa75bPJTyi7Tkmhz3jyZiPkpbMb6dHUkANCWTjD,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-07
auditingRecord-08,cbcKYFK34JuqkPQG2G9GcSwKcQvVtkqaq5vdFadRAqidyHYf6z4vCuu6AaX8y32bDDYEvcWVJd,assesment2,C,2011/12/10 20:00,2013/12/10 22:00,http://www.example.com,false,audit-08
auditingRecord-09,AuditingRecord9,ae,B,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-09
auditingRecord-10,こんにちは、私のすべての人々に私たちはお元気ですか,ibi2fkFFi2nWKqj5DDyixpWEKVDjziFmAnwEDHbyyPaVgShqVt2NCLa75bPJTyi7Tkmhz3jyZiPkpbMb6dHUkANCWTjDvvrmNrw,C,2011/12/10 20:00,2013/12/10 22:00,http://www.example.com,false,audit-10
auditingRecord-11,AuditingRecord11,こんにちは、私のすべての人々に私たちはお元気ですか,F,2010/12/10 21:00,2012/12/10 22:00,http://www.example.com,false,audit-11
auditingRecord-12,<h1> hello and welcome to the class!<h1>,assesment12,A,2011/12/10 20:00,2013/12/10 22:00,,false,audit-12
auditingRecord-14,AuditingRecord14,<h1> hello and welcome to the class!<h1>,Fminus,2011/12/10 20:00,2011/12/10 21:00,http://www.google.com,false,audit-14
auditingRecord-20,A,assesment20,Aplus,2011/12/10 20:00,2013/12/10 22:00,http://localhost,false,audit-20
auditingRecord-21,A,assesment21,Aplus,2013/12/10 20:00,2013/12/10 21:00,http://localhost,true,audit-21
