tutorialIndex,tutorialSessionRecordIndex,title,abstracts,nature,inicialPeriod,finalPeriod,link
0,4,,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",THEORETICAL,2030/12/10 13:00,2030/12/10 14:00,
0,5,tus comentarios en Twitter así como para muchas otras aplicaciones esta es una calculadora gratuita en línea,"La vida es corta, haz lo que te apasiona cada momento al máximo.",THEORETICAL,2030/12/10 20:00,2030/12/10 21:00,
1,2,Lorem ipsum20,,THEORETICAL,2030/12/10 11:00,2030/12/10 12:00,
1,3,Lorem ipsum60,tus comentarios en Twitter así como para muchas otras aplicaciones esta es una calculadora gratuita en línea,THEORETICAL,2030/12/10 17:00,2030/12/10 19:00,
2,2,Lorem ipsum30,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",HANDS_ON,,2030/12/10 19:00,
2,3,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",THEORETICAL,2022/07/30 00:00,,
2,4,Lorem ipsum69,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",THEORETICAL,2022/07/31 00:00,2022/07/31 01:00,ssssssss
2,5,Lorem ipsum92,"La vida es corta, haz lo que te apasiona y disfruta al máximo.",THEORETICAL,2022/07/30 00:00,2022/07/30 01:00,
3,2,Lorem ipsum40,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",THEORETICAL,2022/07/31 00:00,2022/07/30 23:00,
3,3,Lorem ipsum80,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",HANDS_ON,2022/07/31 00:00,2022/07/31 00:59,
3,4,Lorem ipsum70,"La vida es corta, haz lo que te apasiona y disfruta cada momento al máximo.",HANDS_ON,2022/07/31 00:00,2022/07/31 05:59,
